id,latitude,longtitude,grid
158,13.87133877,38.6366907,Yes
159,14.15437711,38.69988067,Yes
160,13.87133877,38.6366907,Yes
161,13.87133877,38.6366907,Yes
162,14.12780295,38.72201955,Yes
163,13.78132656,38.98651184,Yes
164,13.78132656,38.98651184,Yes
165,13.78132656,38.98651184,Yes
166,13.78132656,38.98651184,Yes
167,13.78132656,38.98651184,Yes
168,13.78132656,38.98651184,Yes
169,13.78132656,38.98651184,Yes
170,13.78132656,38.98651184,Yes
171,13.78132656,38.98651184,Yes
172,13.78132656,38.98651184,Yes
173,13.78132656,38.98651184,Yes
174,14.09229044,39.64984338,Yes
175,13.69182277,39.20190146,Yes
176,13.69182277,39.20190146,Yes
177,13.69182277,39.20190146,Yes
178,13.69182277,39.20190146,Yes
179,13.69182277,39.20190146,Yes
180,13.72683851,39.30018717,No
181,13.69182277,39.20190146,Yes
182,13.69182277,39.20190146,Yes
183,13.69182277,39.20190146,Yes
184,13.69182277,39.20190146,Yes
185,13.47990536,39.47572362,Yes
186,13.69182277,39.20190146,Yes
187,14.15627947,38.89976545,Yes
188,14.15627947,38.89976545,Yes
189,14.15627947,38.89976545,Yes
190,14.15627947,38.89976545,Yes
191,14.15627947,38.89976545,Yes
192,14.15627947,38.89976545,Yes
193,14.15627947,38.89976545,Yes
194,14.15627947,38.89976545,Yes
195,14.15627947,38.89976545,Yes
196,14.15627947,38.89976545,Yes
197,14.15627947,38.89976545,Yes
198,14.15627947,38.89976545,Yes
199,14.15627947,38.89976545,Yes
200,14.45596159,39.47908237,Yes
201,14.45596159,39.47908237,Yes
202,14.45596159,39.47908237,Yes
203,14.45596159,39.47908237,Yes
204,14.45596159,39.47908237,Yes
205,14.45596159,39.47908237,Yes
206,14.45596159,39.47908237,Yes
207,14.45596159,39.47908237,Yes
208,14.45596159,39.47908237,Yes
209,14.45596159,39.47908237,Yes
210,14.45596159,39.47908237,Yes
211,14.1873882,39.55443238,Yes
212,14.1873882,39.55443238,Yes
213,14.1873882,39.55443238,Yes
214,14.1873882,39.55443238,Yes
215,14.1873882,39.55443238,Yes
216,14.1873882,39.55443238,Yes
217,14.1873882,39.55443238,Yes
218,14.1873882,39.55443238,Yes
219,14.1873882,39.55443238,Yes
220,14.1873882,39.55443238,Yes
221,14.1873882,39.55443238,Yes
222,14.1873882,39.55443238,Yes
223,14.1873882,39.55443238,Yes
224,14.25270653,39.6508902,Yes
225,14.25270653,39.6508902,Yes
226,14.25270653,39.6508902,Yes
227,14.25270653,39.6508902,Yes
228,14.25270653,39.6508902,Yes
229,14.25270653,39.6508902,Yes
230,14.25270653,39.6508902,Yes
231,14.25270653,39.6508902,Yes
232,14.25270653,39.6508902,Yes
233,14.25270653,39.6508902,Yes
234,14.25270653,39.6508902,Yes
235,14.25270653,39.6508902,Yes
236,14.31921747,39.27159926,Yes
237,14.31921747,39.27159926,Yes
238,14.31921747,39.27159926,Yes
239,13.44511969,39.45544797,Yes
240,14.31921747,39.27159926,Yes
241,14.31921747,39.27159926,Yes
242,14.31921747,39.27159926,Yes
243,14.31921747,39.27159926,Yes
244,14.31921747,39.27159926,Yes
245,14.31921747,39.27159926,Yes
246,14.31921747,39.27159926,Yes
247,14.31921747,39.27159926,Yes
248,13.98437051,39.53312942,Yes
249,13.98437051,39.53312942,Yes
250,13.98437051,39.53312942,Yes
251,13.98437051,39.53312942,Yes
252,13.98437051,39.53312942,Yes
253,13.98437051,39.53312942,Yes
254,13.98437051,39.53312942,Yes
255,13.98437051,39.53312942,Yes
256,13.98437051,39.53312942,Yes
257,13.98437051,39.53312942,Yes
258,13.98437051,39.53312942,Yes
259,13.98437051,39.53312942,Yes
260,13.80142655,39.61825297,Yes
261,13.80142655,39.61825297,Yes
262,13.80142655,39.61825297,Yes
263,13.80142655,39.61825297,Yes
264,13.80142655,39.61825297,Yes
265,13.80142655,39.61825297,Yes
266,13.80142655,39.61825297,Yes
267,13.80142655,39.61825297,Yes
268,13.80142655,39.61825297,Yes
269,13.80142655,39.61825297,Yes
270,13.80142655,39.61825297,Yes
271,13.84260436,39.71964386,Yes
272,13.84260436,39.71964386,Yes
273,13.84260436,39.71964386,Yes
274,13.84260436,39.71964386,Yes
275,13.84260436,39.71964386,Yes
276,13.84260436,39.71964386,Yes
277,13.75940659,39.70881366,Yes
278,13.84260436,39.71964386,Yes
279,13.84260436,39.71964386,Yes
280,13.84260436,39.71964386,Yes
281,13.84260436,39.71964386,Yes
282,13.89538761,39.78730021,Yes
283,13.89538761,39.78730021,Yes
284,13.89538761,39.78730021,Yes
285,13.89538761,39.78730021,Yes
286,13.89538761,39.78730021,Yes
287,13.89538761,39.78730021,Yes
288,13.89538761,39.78730021,Yes
289,13.89538761,39.78730021,Yes
290,13.48345514,39.49729988,Yes
291,13.89538761,39.78730021,Yes
292,13.89538761,39.78730021,Yes
293,13.89538761,39.78730021,Yes
294,13.80731133,39.598794,Yes
295,13.80731133,39.598794,Yes
296,13.80731133,39.598794,Yes
297,13.80731133,39.598794,Yes
298,13.80731133,39.598794,Yes
299,13.80731133,39.598794,Yes
300,13.80731133,39.598794,Yes
301,13.80731133,39.598794,Yes
302,13.80731133,39.598794,Yes
