id,lat,long,Grid_Within_5km
10303088800605027,14,40,No
10303088800605036,14,40,No
10303088800605040,14,40,No
10303088800605052,14,40,No
10303088800605066,14,40,No
10303088800605078,14,40,No
10303088800605100,14,40,No
10303088800605107,14,40,No
10303088800605119,14,40,No
10303088800605131,14,40,No
10304088800101001,14,39,Yes
10304088800101014,14,39,Yes
10304088800101027,14,39,Yes
10304088800101040,13,39,No
10304088800101054,14,39,Yes
10304088800101067,14,39,Yes
10304088800101077,14,39,Yes
10304088800101085,14,39,Yes
10304088800101104,14,39,Yes
10304088800101115,14,39,Yes
10304088800101120,14,39,Yes
10304088800101135,14,39,Yes
10305088801202001,14,40,No
10305088801202022,14,40,No
10305088801202036,14,40,No
10305088801202043,14,40,No
10305088801202059,14,40,No
10305088801202065,14,40,No
10305088801202086,14,40,No
10305088801202107,14,40,No
10305088801202130,14,40,No
10305088801202137,14,40,No
10305088801202152,14,40,No
10305088801202174,14,40,No
10306088800608021,14,40,No
10306088800608036,14,40,No
10306088800608043,14,40,No
10306088800608062,14,40,No
10306088800608088,14,40,No
10306088800608112,14,40,No
10306088800608122,14,40,No
10306088800608133,14,40,No
10306088800608152,14,40,No
10306088800608174,14,40,No
10306088800608196,14,40,No
10307088800116004,14,40,No
10307088800116016,14,40,No
10307088800116028,14,40,No
10307088800116040,14,40,No
10307088800116064,14,40,No
10307088800116076,14,40,No
10307088800116088,14,40,No
10307088800116100,14,40,No
10307088800116112,14,40,No
10307088800116124,14,40,No
10307088800116136,14,40,No
10307088800709006,14,40,No
10307088800709025,14,40,No
10307088800709043,14,40,No
10307088800709061,14,40,No
10307088800709079,14,40,No
10307088800709097,14,40,No
10307088800709115,14,40,No
10307088800709133,14,40,No
10307088800709151,13,39,No
10307088800709166,14,40,No
10307088800709167,14,40,No
10307088800709171,14,40,No
10309010100101001,14,40,No
10309010100101011,14,40,No
10309010100101021,14,40,No
10309010100101031,14,40,No
10309010100101041,14,40,No
10309010100101051,14,40,No
10309010100101061,14,40,No
10309010100101071,14,40,No
10309010100101081,14,40,No
10309010100101091,14,40,No
10309010100101101,14,40,No
10309010100101121,14,40,No
10309010100101141,14,40,No
10401088801204003,13,39,No
10401088801204009,13,39,No
10401088801204022,13,39,No
10401088801204045,13,39,No
10401088801204063,13,39,No
10401088801204081,13,39,No
10401088801204099,13,39,No
10401088801204118,13,39,No
10401088801204136,13,39,No
10401088801204154,13,39,No
10401088801204172,13,39,No
10403020100109011,13,40,No
10403020100109023,13,40,No
10403020100109035,13,40,No
10403020100109047,13,40,No
10403020100109059,13,40,No
10403020100109071,13,40,No
10403020100109083,13,40,No
10403020100109095,13,40,No
10403020100109107,13,40,No
10403020100109119,13,40,No
10403020100109131,13,40,No
10403020100109143,13,40,No
10403088800404002,13,39,No
10403088800404014,13,39,No
10403088800404027,13,39,No
10403088800404040,13,39,No
